Date;Open;High;Low;Close; Volume 
13/09/1985;0.0612033;0.0612033;0.0599771;0.0599771; $82.749.989.631.629,00 
16/09/1985;0.0599771;0.0599771;0.0578435;0.0578435; $4.338.533.112.495,00 
17/09/1985;0.0578435;0.0578435;0.0578435;0.0578435; $21.555.997.563.491,00 
18/09/1985;0.0614924;0.0614924;0.0614924;0.0614924; $14.087.738.847.829,00 
19/09/1985;0.0645431;0.0645431;0.0645431;0.0645431; $21.858.197.835.943,00 
20/09/1985;0.0645431;0.0648422;0.0636359;0.0636359; $15.864.137.366.525,00 
23/09/1985;0.0639349;0.0648422;0.0639349;0.0639349; $13.911.673.945.284,00 
24/09/1985;0.0639349;0.0654603;0.0627286;0.0627286; $10.335.211.141.752,00 
25/09/1985;0.0627286;0.0627286;0.0602661;0.0602661; $12.258.778.090.597,00 
26/09/1985;0.0602661;0.0608843;0.0602661;0.0602661; $62.752.359.066.382,00 
27/09/1985;0.0602661;0.0608843;0.0602661;0.0602661; $80.936.803.845.112,00 
30/09/1985;0.0602661;0.0608843;0.0599771;0.0599771; $42.991.080.232.221,00 
01/10/1985;0.0599771;0.0602661;0.0599771;0.0599771; $10.364.116.741.905,00 
02/10/1985;0.0599771;0.0602661;0.0593689;0.0593689; $2.522.703.686.835,00 
03/10/1985;0.0593689;0.0593689;0.0587409;0.0587409; $57.391.565.221.842,00 
04/10/1985;0.0587409;0.0587409;0.0569264;0.0569264; $81.567.494.737.346,00 
07/10/1985;0.0569264;0.0578435;0.0569264;0.0569264; $1.078.456.580.165,00 
08/10/1985;0.0575345;0.0575345;0.0575345;0.0575345; $10.203.820.189.944,00 
09/10/1985;0.0575345;0.0578435;0.0569264;0.0569264; $97.150.478.633.451,00 
10/10/1985;0.0602661;0.0608843;0.0602661;0.0602661; $3.070.606.144.528,00 
11/10/1985;0.0608843;0.0614924;0.0608843;0.0608843; $13.877.508.349.808,00 
14/10/1985;0.0630078;0.0630078;0.0630078;0.0630078; $18.205.525.383.554,00 
15/10/1985;0.0645431;0.0648422;0.0645431;0.0645431; $34.476.984.189.537,00 
16/10/1985;0.0685011;0.0688002;0.0685011;0.0685011; $33.838.424.769.594,00 
17/10/1985;0.0691191;0.072439;0.0691191;0.0691191; $40.846.813.849.966,00 
18/10/1985;0.0691191;0.0697173;0.0672648;0.0672648; $27.032.372.081.755,00 
21/10/1985;0.0672648;0.0672648;0.0654603;0.0654603; $13.945.839.741.369,00 
22/10/1985;0.0685011;0.0691191;0.0685011;0.0685011; $49.805.046.284.114,00 
23/10/1985;0.0685011;0.0703255;0.0685011;0.0685011; $17.406.669.712.566,00 
24/10/1985;0.0697173;0.0715418;0.0697173;0.0697173; $31.983.181.187.909,00 
25/10/1985;0.0697173;0.0697173;0.0685011;0.0685011; $74.235.886.768.203,00 
28/10/1985;0.0685011;0.0688002;0.0685011;0.0685011; $69.768.584.978.076,00 
29/10/1985;0.0685011;0.0685011;0.067883;0.067883; $153.543.443.172,00 
30/10/1985;0.0721499;0.0721499;0.0721499;0.0721499; $26.580.385.819.316,00 
31/10/1985;0.0721499;0.0730472;0.0706345;0.0706345; $18.192.389.337.646,00 
01/11/1985;0.0706345;0.0721499;0.0706345;0.0706345; $10.858.147.759.861,00 
04/11/1985;0.0709436;0.072439;0.0709436;0.0709436; $18.268.594.171.863,00 
05/11/1985;0.0709436;0.072439;0.0706345;0.0706345; $12.616.159.064.168,00 
06/11/1985;0.0730472;0.0736653;0.0730472;0.0730472; $23.516.351.078.022,00 
07/11/1985;0.0742834;0.0755096;0.0742834;0.0742834; $37.204.660.987.001,00 
08/11/1985;0.0779423;0.0785404;0.0779423;0.0779423; $34.503.266.111.245,00 
11/11/1985;0.0779423;0.0785404;0.0761278;0.0761278; $2.097.262.205.443,00 
12/11/1985;0.0761278;0.0767259;0.0755096;0.0755096; $20.370.855.619.694,00 
13/11/1985;0.0755096;0.0755096;0.0736653;0.0736653; $11.914.531.156.833,00 
14/11/1985;0.0761278;0.076407;0.0761278;0.0761278; $16.366.052.158.554,00 
15/11/1985;0.0761278;0.0767259;0.0755096;0.0755096; $95.705.179.567.838,00 
18/11/1985;0.0755096;0.0761278;0.0755096;0.0755096; $75.733.714.570.475,00 
19/11/1985;0.0755096;0.0761278;0.0730472;0.0730472; $11.065.745.251.071,00 
20/11/1985;0.0730472;0.0736653;0.0721499;0.0721499; $1.162.284.555.886,00 
21/11/1985;0.0721499;0.0730472;0.0721499;0.0721499; $12.077.453.393.339,00 
22/11/1985;0.0721499;0.0730472;0.0715418;0.0721499; $15.104.702.271.084,00 
25/11/1985;0.0721499;0.0730472;0.0721499;0.072439; $11.402.103.495.816,00 
26/11/1985;0.072439;0.0739844;0.0721499;0.0736653; $19.293.442.171.629,00 
27/11/1985;0.0736653;0.076407;0.0730472;0.0761278; $22.491.503.379.169,00 
29/11/1985;0.0761278;0.076407;0.0755096;0.076407; $11.617.587.068.113,00 
02/12/1985;0.076407;0.0767259;0.0761278;0.0767259; $11.754.233.802.433,00 
03/12/1985;0.0767259;0.0773241;0.0761278;0.076407; $18.192.389.337.646,00 
04/12/1985;0.076407;0.0782314;0.076407;0.0779423; $19.369.653.525.672,00 
05/12/1985;0.0779423;0.0785404;0.0761278;0.076407; $14.681.620.104.223,00 
06/12/1985;0.076407;0.076407;0.0742834;0.0749015; $76.784.892.136.836,00 
